city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Weimar,Weimar,50.9811,11.3294,Germany,DE,DEU,Thuringia,minor,65611,1276053525
Sindelfingen,Sindelfingen,48.7133,9.0028,Germany,DE,DEU,Baden-Württemberg,,65504,1276001469
Plauen,Plauen,50.495,12.1383,Germany,DE,DEU,Saxony,minor,65218,1276134198
Rosenheim,Rosenheim,47.8561,12.1289,Germany,DE,DEU,Bavaria,minor,65192,1276301675
Dormagen,Dormagen,51.0964,6.84,Germany,DE,DEU,North Rhine-Westphalia,,65170,1276688551
Grevenbroich,Grevenbroich,51.0883,6.5875,Germany,DE,DEU,North Rhine-Westphalia,,64588,1276215861
Neubrandenburg,Neubrandenburg,53.5569,13.2608,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,64390,1276954105
Friedrichshafen,Friedrichshafen,47.6542,9.4792,Germany,DE,DEU,Baden-Württemberg,,63441,1276002705
Schwäbisch Gmünd,Schwabisch Gmund,48.8,9.8,Germany,DE,DEU,Baden-Württemberg,,62726,1276897251
Herten,Herten,51.6,7.1333,Germany,DE,DEU,North Rhine-Westphalia,,62204,1276440470
Offenburg,Offenburg,48.4708,7.9408,Germany,DE,DEU,Baden-Württemberg,minor,62195,1276214401
Bergheim,Bergheim,50.9541,6.6412,Germany,DE,DEU,North Rhine-Westphalia,minor,62172,1276980188
Neu-Ulm,Neu-Ulm,48.3833,10,Germany,DE,DEU,Baden-Württemberg,minor,61780,1276071813
Garbsen,Garbsen,52.4183,9.5981,Germany,DE,DEU,Lower Saxony,,61594,1276318243
Wesel,Wesel,51.6586,6.6178,Germany,DE,DEU,North Rhine-Westphalia,minor,61277,1276261527
Hürth,Hurth,50.8775,6.8761,Germany,DE,DEU,North Rhine-Westphalia,,61252,1276025332
Euskirchen,Euskirchen,50.6613,6.7873,Germany,DE,DEU,North Rhine-Westphalia,minor,60256,1276782162
Unna,Unna,51.5347,7.6889,Germany,DE,DEU,North Rhine-Westphalia,minor,60223,1276028114
Greifswald,Greifswald,54.0833,13.3833,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,60071,1276867765
Langenfeld,Langenfeld,51.1167,6.95,Germany,DE,DEU,North Rhine-Westphalia,,59908,1276016003
Stralsund,Stralsund,54.3092,13.0819,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,59450,1276640152
Göppingen,Goppingen,48.7025,9.6528,Germany,DE,DEU,Baden-Württemberg,minor,59300,1276730715
Frankfurt (Oder),Frankfurt (Oder),52.3421,14.5517,Germany,DE,DEU,Brandenburg,minor,58818,1276397323
Hameln,Hameln,52.1031,9.36,Germany,DE,DEU,Lower Saxony,minor,57916,1276101153
Meerbusch,Meerbusch,51.2667,6.6667,Germany,DE,DEU,North Rhine-Westphalia,,57440,1276882223
Baden-Baden,Baden-Baden,48.7619,8.2408,Germany,DE,DEU,Baden-Württemberg,minor,57420,1276150269
Lingen,Lingen,52.5233,7.3172,Germany,DE,DEU,Lower Saxony,minor,57075,1276978218
Görlitz,Gorlitz,51.1528,14.9872,Germany,DE,DEU,Saxony,minor,56694,1276000121
Sankt Augustin,Sankt Augustin,50.77,7.1867,Germany,DE,DEU,North Rhine-Westphalia,,56692,1276196312
Stolberg,Stolberg,50.7667,6.2333,Germany,DE,DEU,North Rhine-Westphalia,,56584,1276202704
Pulheim,Pulheim,51,6.8,Germany,DE,DEU,North Rhine-Westphalia,,56284,1276728926
Eschweiler,Eschweiler,50.8167,6.2833,Germany,DE,DEU,North Rhine-Westphalia,,56132,1276835632
Bad Homburg,Bad Homburg,50.2292,8.6105,Germany,DE,DEU,Hesse,minor,55995,1276019348
Waiblingen,Waiblingen,48.8303,9.3169,Germany,DE,DEU,Baden-Württemberg,minor,55917,1276678986
Langenhagen,Langenhagen,52.4394,9.74,Germany,DE,DEU,Lower Saxony,,55746,1276031765
Hilden,Hilden,51.1714,6.9394,Germany,DE,DEU,North Rhine-Westphalia,,55689,1276577152
Nordhorn,Nordhorn,52.4333,7.0667,Germany,DE,DEU,Lower Saxony,minor,55619,1276078036
Schweinfurt,Schweinfurt,50.05,10.2333,Germany,DE,DEU,Bavaria,,55067,1276316912
Wetzlar,Wetzlar,50.5667,8.5,Germany,DE,DEU,Hesse,minor,54629,1276020868
Hattingen,Hattingen,51.3992,7.1858,Germany,DE,DEU,North Rhine-Westphalia,,54620,1276698647
Bad Salzuflen,Bad Salzuflen,52.0833,8.7467,Germany,DE,DEU,North Rhine-Westphalia,,54585,1276526163
Passau,Passau,48.5748,13.461,Germany,DE,DEU,Bavaria,minor,54401,1276123699
Neustadt,Neustadt,49.3536,8.1361,Germany,DE,DEU,Rhineland-Palatinate,minor,53920,1276053769
Kleve,Kleve,51.79,6.14,Germany,DE,DEU,North Rhine-Westphalia,minor,53458,1276674243
Ahlen,Ahlen,51.7633,7.8911,Germany,DE,DEU,North Rhine-Westphalia,,53278,1276843072
Frechen,Frechen,50.9167,6.8167,Germany,DE,DEU,North Rhine-Westphalia,,53128,1276255319
Wolfenbüttel,Wolfenbuttel,52.1622,10.5369,Germany,DE,DEU,Lower Saxony,minor,53034,1276388010
Bad Kreuznach,Bad Kreuznach,49.8469,7.8669,Germany,DE,DEU,Rhineland-Palatinate,minor,52989,1276733459
Ibbenbüren,Ibbenburen,52.2778,7.7167,Germany,DE,DEU,North Rhine-Westphalia,,52688,1276476330
Böblingen,Boblingen,48.6833,9,Germany,DE,DEU,Baden-Württemberg,minor,52093,1276001231
Gummersbach,Gummersbach,51.0333,7.5667,Germany,DE,DEU,North Rhine-Westphalia,minor,51845,1276576027
Rastatt,Rastatt,48.8572,8.2031,Germany,DE,DEU,Baden-Württemberg,minor,51800,1276684629
Ravensburg,Ravensburg,47.7831,9.6114,Germany,DE,DEU,Baden-Württemberg,minor,51788,1276088263
Peine,Peine,52.3203,10.2336,Germany,DE,DEU,Lower Saxony,minor,51521,1276331439
Speyer,Speyer,49.3166,8.4336,Germany,DE,DEU,Rhineland-Palatinate,minor,51203,1276684984
Elmshorn,Elmshorn,53.7547,9.6536,Germany,DE,DEU,Schleswig-Holstein,minor,50728,1276091723
Lörrach,Lorrach,47.6156,7.6614,Germany,DE,DEU,Baden-Württemberg,minor,50670,1276104619
Emden,Emden,53.3669,7.2061,Germany,DE,DEU,Lower Saxony,minor,50659,1276309938
Goslar,Goslar,51.906,10.4292,Germany,DE,DEU,Lower Saxony,minor,50253,1276608610
Willich,Willich,51.2631,6.5492,Germany,DE,DEU,North Rhine-Westphalia,,50212,1276849706
Gronau,Gronau,52.2125,7.0417,Germany,DE,DEU,North Rhine-Westphalia,,50151,1276262054
Erftstadt,Erftstadt,50.8167,6.7667,Germany,DE,DEU,North Rhine-Westphalia,,50018,1276479094
Freising,Freising,48.4028,11.7489,Germany,DE,DEU,Bavaria,minor,49939,1276519005
Heidenheim,Heidenheim,48.6761,10.1544,Germany,DE,DEU,Baden-Württemberg,minor,49895,1276168895
Rheda-Wiedenbrück,Rheda-Wiedenbruck,51.8417,8.3,Germany,DE,DEU,North Rhine-Westphalia,,49849,1276045371
Leonberg,Leonberg,48.8014,9.0131,Germany,DE,DEU,Baden-Württemberg,,49845,1276002040
Straubing,Straubing,48.8772,12.5758,Germany,DE,DEU,Bavaria,minor,49775,1276278805
Bad Oeynhausen,Bad Oeynhausen,52.2,8.8,Germany,DE,DEU,North Rhine-Westphalia,,49566,1276503412
Singen,Singen,47.7628,8.84,Germany,DE,DEU,Baden-Württemberg,,49518,1276550938
